year,Sex,Deprivation fifth,geography,Healthy weight or underweight,Healthy weight or underweight (%),Healthy weight or underweight (95% CI),Overweight or obese,Overweight or obese (%),Overweight or obese (95% CI),Underweight,Underweight (%),Underweight (95% CI),Healthy weight,Healthy weight (%),Healthy weight (95% CI),Overweight not obese,Overweight not obese (%),Overweight not obese (95% CI),Obese,Obese (%),Obese        (95% CI),link,Tab
2022,Boys,Total,Swansea Bay UHB,"1,265",71,(68.9-73.1),516,29,(26.9-31.1),19,1.1,(0.7-1.7),"1,246",70,(67.8-72.0),253,14.2,(12.7-15.9),263,14.8,(13.2-16.5),2. CMP_Data_2021_22.xlsx (live.com),2b
2022,Boys,Total,Cwm Taf Morgannwg UHB,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],2. CMP_Data_2021_22.xlsx (live.com),2b
2022,Boys,Total,Cardiff and Vale UHB,"1,478",75.6,(73.6-77.4),478,24.4,(22.6-26.4),30,1.5,(1.1-2.2),"1,448",74,(72.0-75.9),261,13.3,(11.9-14.9),217,11.1,(9.8-12.6),2. CMP_Data_2021_22.xlsx (live.com),2b
2022,Boys,Total,Aneurin Bevan UHB,"2,261",73.8,(72.3-75.4),801,26.2,(24.6-27.7),33,1.1,(0.8-1.5),"2,228",72.8,(71.2-74.3),407,13.3,(12.1-14.5),394,12.9,(11.7-14.1),2. CMP_Data_2021_22.xlsx (live.com),2b
2022,Girls,Total,Betsi Cadwaladr UHB,"1,898",73.7,(72.0-75.4),676,26.3,(24.6-28.0),10,0.4,(0.2-0.7),"1,888",73.3,(71.6-75.0),334,13,(11.7-14.3),342,13.3,(12.0-14.7),2. CMP_Data_2021_22.xlsx (live.com),2c
2022,Girls,Total,Powys THB,379,75.6,(71.7-79.2),122,24.4,(20.8-28.3),[s],[s],[s],[s],[s],[s],74,14.8,(11.9-18.1),48,9.6,(7.3-12.5),2. CMP_Data_2021_22.xlsx (live.com),2c
2022,Girls,Total,Hywel Dda UHB,"1,146",71.2,(69.0-73.4),463,28.8,(26.6-31.0),6,0.4,(0.2-0.8),"1,140",70.9,(68.6-73.0),256,15.9,(14.2-17.8),207,12.9,(11.3-14.6),2. CMP_Data_2021_22.xlsx (live.com),2c
2022,Girls,Total,Swansea Bay UHB,"1,315",72.4,(70.3-74.4),501,27.6,(25.6-29.7),8,0.4,(0.2-0.9),"1,307",72,(69.9-74.0),256,14.1,(12.6-15.8),245,13.5,(12.0-15.1),2. CMP_Data_2021_22.xlsx (live.com),2c
2022,Girls,Total,Cwm Taf Morgannwg UHB,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],2. CMP_Data_2021_22.xlsx (live.com),2c
2022,Girls,Total,Cardiff and Vale UHB,"1,518",76.2,(74.3-78.0),474,23.8,(22.0-25.7),22,1.1,(0.7-1.7),"1,496",75.1,(73.2-76.9),251,12.6,(11.2-14.1),223,11.2,(9.9-12.7),2. CMP_Data_2021_22.xlsx (live.com),2c
2022,Girls,Total,Aneurin Bevan UHB,"2,274",74.5,(72.9-76.0),780,25.5,(24.0-27.1),24,0.8,(0.5-1.2),"2,250",73.7,(72.1-75.2),385,12.6,(11.5-13.8),395,12.9,(11.8-14.2),2. CMP_Data_2021_22.xlsx (live.com),2c
comb 2018,Total,Total,Wales,"119,281",73.5,(73.3 to 73.7),"42,927",26.5,(26.3 to 26.7),1363,0.8,(0.8 to 0.9),"117,918",72.7,(72.5 to 72.9),"23,604",14.6,(14.4 to 14.7),"19,323",11.9,(11.8 to 12.1),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Prevalence All
comb 2018,Total,Least deprived fifth,Wales,"21,803",78.6,(78.1 to 79.1),"5,927",21.4,(20.9 to 21.9),231,0.8,(0.7 to 0.9),"21,572",77.8,(77.3 to 78.3),"3,502",12.6,(12.2 to 13.0),"2,425",8.7,(8.4 to 9.1),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Prevalence All
comb 2018,Total,Next least deprived,Wales,"20,838",74.9,(74.4 to 75.4),"6,980",25.1,(24.6 to 25.6),215,0.8,(0.7 to 0.9),"20,623",74.1,(73.6 to 74.6),"3,975",14.3,(13.9 to 14.7),"3,005",10.8,(10.4 to 11.2),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Prevalence All
comb 2018,Total,Middle deprived,Wales,"22,970",72.8,(72.3 to 73.2),"8,603",27.2,(26.8 to 27.7),234,0.7,(0.7 to 0.8),"22,736",72,(71.5 to 72.5),"4,820",15.3,(14.9 to 15.7),"3,783",12,(11.6 to 12.3),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Prevalence All
comb 2018,Total,Next most deprived,Wales,"24,540",71.9,(71.4 to 72.4),"9,598",28.1,(27.6 to 28.6),265,0.8,(0.7 to 0.9),"24,275",71.1,(70.6 to 71.6),"5,161",15.1,(14.7 to 15.5),"4,437",13,(12.6 to 13.4),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Prevalence All
comb 2018,Total,Most deprived fifth,Wales,"29,130",71.1,(70.7 to 71.6),"11,819",28.9,(28.4 to 29.3),418,1,(0.9 to 1.1),"28,712",70.1,(69.7 to 70.6),"6,146",15,(14.7 to 15.4),"5,673",13.9,(13.5 to 14.2),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Prevalence All
comb 2018,Total,Total,Betsi Cadwaladr UHB,"26,080",71.3,(70.8 to 71.7),"10,508",28.7,(28.3 to 29.2),229,0.6,(0.6 to 0.7),"25,851",70.7,(70.2 to 71.1),"5,992",16.4,(16.0 to 16.8),"4,516",12.3,(12.0 to 12.7),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Prevalence All
comb 2018,Total,Total,Powys THB,"4,050",75.2,(74.1 to 76.4),"1,333",24.8,(23.6 to 25.9),42,0.8,(0.6 to 1.1),"4,008",74.5,(73.3 to 75.6),766,14.2,(13.3 to 15.2),567,10.5,(9.7 to 11.4),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Prevalence All
comb 2018,Total,Total,Hywel Dda UHB,"12,893",71.9,(71.2 to 72.5),"5,047",28.1,(27.5 to 28.8),92,0.5,(0.4 to 0.6),"12,801",71.4,(70.7 to 72.0),"2,797",15.6,(15.1 to 16.1),"2,250",12.5,(12.1 to 13.0),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Prevalence All
comb 2018,Total,Total,Swansea Bay UHB,"14,646",74,(73.4 to 74.6),"5,151",26,(25.4 to 26.6),153,0.8,(0.7 to 0.9),"14,493",73.2,(72.6 to 73.8),"2,748",13.9,(13.4 to 14.4),"2,403",12.1,(11.7 to 12.6),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Prevalence All
comb 2018,Total,Total,Cardiff and Vale UHB,"19,722",78.4,(77.9 to 78.9),"5,423",21.6,(21.1 to 22.1),433,1.7,(1.6 to 1.9),"19,289",76.7,(76.2 to 77.2),"3,034",12.1,(11.7 to 12.5),"2,389",9.5,(9.1 to 9.9),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Prevalence All
comb 2018,Total,Total,Cwm Taf Morgannwg UHB,"17,903",71.8,(71.3 to 72.4),"7,027",28.2,(27.6 to 28.7),161,0.6,(0.6 to 0.8),"17,742",71.2,(70.6 to 71.7),"3,652",14.6,(14.2 to 15.1),"3,375",13.5,(13.1 to 14.0),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Prevalence All
comb 2018,Total,Total,Aneurin Bevan UHB,"23,987",74,(73.5 to 74.5),"8,438",26,(25.5 to 26.5),253,0.8,(0.7 to 0.9),"23,734",73.2,(72.7 to 73.7),"4,615",14.2,(13.9 to 14.6),"3,823",11.8,(11.4 to 12.1),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Prevalence All
comb 2018,Boys,Total,Wales,"60,467",73.1,(72.8 to 73.4),"22,270",26.9,(26.6 to 27.2),885,1.1,(1.0 to 1.1),"59,582",72,(71.7 to 72.3),"12,158",14.7,(14.5 to 14.9),"10,112",12.2,(12.0 to 12.4),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Boys
comb 2018,Boys,Least deprived fifth,Wales,"11,258",78.6,(77.9 to 79.2),"3,072",21.4,(20.8 to 22.1),172,1.2,(1.0 to 1.4),"11,086",77.4,(76.7 to 78.0),"1,801",12.6,(12.0 to 13.1),"1,271",8.9,(8.4 to 9.3),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Boys
comb 2018,Boys,Next least deprived,Wales,"10,554",74.4,(73.6 to 75.1),"3,639",25.6,(24.9 to 26.4),143,1,(0.9 to 1.2),"10,411",73.4,(72.6 to 74.1),"2,051",14.5,(13.9 to 15.0),"1,588",11.2,(10.7 to 11.7),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Boys
comb 2018,Boys,Middle deprived,Wales,"11,650",72.2,(71.5 to 72.9),"4,493",27.8,(27.1 to 28.5),155,1,(0.8 to 1.1),"11,495",71.2,(70.5 to 71.9),"2,507",15.5,(15.0 to 16.1),"1,986",12.3,(11.8 to 12.8),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Boys
comb 2018,Boys,Next most deprived,Wales,"12,329",71.3,(70.6 to 72.0),"4,959",28.7,(28.0 to 29.4),160,0.9,(0.8 to 1.1),"12,169",70.4,(69.7 to 71.1),"2,634",15.2,(14.7 to 15.8),"2,325",13.4,(12.9 to 14.0),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Boys
comb 2018,Boys,Most deprived fifth,Wales,"14,676",70.6,(70.0 to 71.2),"6,107",29.4,(28.8 to 30.0),255,1.2,(1.1 to 1.4),"14,421",69.4,(68.8 to 70.0),"3,165",15.2,(14.7 to 15.7),"2,942",14.2,(13.7 to 14.6),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Boys
comb 2018,Boys,Total,Betsi Cadwaladr UHB,"13,197",70.8,(70.2 to 71.5),"5,433",29.2,(28.5 to 29.8),141,0.8,(0.6 to 0.9),"13,056",70.1,(69.4 to 70.7),"3,078",16.5,(16.0 to 17.1),"2,355",12.6,(12.2 to 13.1),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Boys
comb 2018,Boys,Total,Powys THB,"2,007",74.1,(72.4 to 75.7),701,25.9,(24.3 to 27.6),27,1,(0.7 to 1.4),"1,980",73.1,(71.4 to 74.8),402,14.8,(13.6 to 16.2),299,11,(9.9 to 12.3),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Boys
comb 2018,Boys,Total,Hywel Dda UHB,"6,447",70.9,(70.0 to 71.9),"2,640",29.1,(28.1 to 30.0),55,0.6,(0.5 to 0.8),"6,392",70.3,(69.4 to 71.3),"1,468",16.2,(15.4 to 16.9),"1,172",12.9,(12.2 to 13.6),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Boys
comb 2018,Boys,Total,Swansea Bay UHB,"7,552",73.7,(72.8 to 74.6),"2,694",26.3,(25.4 to 27.2),93,0.9,(0.7 to 1.1),"7,459",72.8,(71.9 to 73.7),"1,427",13.9,(13.3 to 14.6),"1,267",12.4,(11.7 to 13.0),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Boys
comb 2018,Boys,Total,Cwm Taf Morgannwg UHB,"8,967",71.2,(70.4 to 71.9),"3,634",28.8,(28.1 to 29.6),104,0.8,(0.7 to 1.0),"8,863",70.3,(69.5 to 71.1),"1,868",14.8,(14.2 to 15.5),"1,766",14,(13.4 to 14.6),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Boys
comb 2018,Boys,Total,Cardiff and Vale UHB,"10,107",78.1,(77.3 to 78.8),"2,840",21.9,(21.2 to 22.7),294,2.3,(2.0 to 2.5),"9,813",75.8,(75.0 to 76.5),"1,575",12.2,(11.6 to 12.7),"1,265",9.8,(9.3 to 10.3),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Boys
comb 2018,Boys,Total,Aneurin Bevan UHB,"12,190",73.8,(73.1 to 74.5),"4,328",26.2,(25.5 to 26.9),171,1,(0.9 to 1.2),"12,019",72.8,(72.1 to 73.4),"2,340",14.2,(13.6 to 14.7),"1,988",12,(11.5 to 12.5),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Boys
comb 2018,Girls,Total,Wales,"58,814",74,(73.7 to 74.3),"20,657",26,(25.7 to 26.3),478,0.6,(0.6 to 0.7),"58,336",73.4,(73.1 to 73.7),"11,446",14.4,(14.2 to 14.6),"9,211",11.6,(11.4 to 11.8),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Girls
comb 2018,Girls,Least deprived fifth,Wales,"10,545",78.7,(78.0 to 79.4),"2,855",21.3,(20.6 to 22.0),59,0.4,(0.3 to 0.6),"10,486",78.3,(77.5 to 78.9),"1,701",12.7,(12.1 to 13.3),"1,154",8.6,(8.1 to 9.1),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Girls
comb 2018,Girls,Next least deprived,Wales,"10,284",75.5,(74.7 to 76.2),"3,341",24.5,(23.8 to 25.3),72,0.5,(0.4 to 0.7),"10,212",75,(74.2 to 75.7),"1,924",14.1,(13.5 to 14.7),"1,417",10.4,(9.9 to 10.9),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Girls
comb 2018,Girls,Middle deprived,Wales,"11,320",73.4,(72.7 to 74.1),"4,110",26.6,(25.9 to 27.3),79,0.5,(0.4 to 0.6),"11,241",72.9,(72.1 to 73.5),"2,313",15,(14.4 to 15.6),"1,797",11.6,(11.1 to 12.2),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Girls
comb 2018,Girls,Next most deprived,Wales,"12,210",72.5,(71.8 to 73.1),"4,639",27.5,(26.9 to 28.2),105,0.6,(0.5 to 0.8),"12,105",71.8,(71.2 to 72.5),"2,527",15,(14.5 to 15.5),"2,112",12.5,(12.0 to 13.0),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Girls
comb 2018,Girls,Most deprived fifth,Wales,"14,455",71.7,(71.1 to 72.3),"5,712",28.3,(27.7 to 28.9),163,0.8,(0.7 to 0.9),"14,292",70.9,(70.2 to 71.5),"2,981",14.8,(14.3 to 15.3),"2,731",13.5,(13.1 to 14.0),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Girls
comb 2018,Girls,Total,Betsi Cadwaladr UHB,"12,883",71.7,(71.1 to 72.4),"5,075",28.3,(27.6 to 28.9),88,0.5,(0.4 to 0.6),"12,795",71.2,(70.6 to 71.9),"2,914",16.2,(15.7 to 16.8),"2,161",12,(11.6 to 12.5),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Girls
comb 2018,Girls,Total,Powys THB,"2,043",76.4,(74.7 to 77.9),632,23.6,(22.1 to 25.3),15,0.6,(0.3 to 0.9),"2,028",75.8,(74.2 to 77.4),364,13.6,(12.4 to 15.0),268,10,(8.9 to 11.2),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Girls
comb 2018,Girls,Total,Hywel Dda UHB,"6,446",72.8,(71.9 to 73.7),"2,407",27.2,(26.3 to 28.1),37,0.4,(0.3 to 0.6),"6,409",72.4,(71.5 to 73.3),"1,329",15,(14.3 to 15.8),"1,078",12.2,(11.5 to 12.9),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Girls
comb 2018,Girls,Total,Swansea Bay UHB,"7,094",74.3,(73.4 to 75.1),"2,457",25.7,(24.9 to 26.6),60,0.6,(0.5 to 0.8),"7,034",73.6,(72.8 to 74.5),"1,321",13.8,(13.2 to 14.5),"1,136",11.9,(11.3 to 12.6),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Girls
comb 2018,Girls,Total,Cwm Taf Morgannwg UHB,"8,936",72.5,(71.7 to 73.3),"3,393",27.5,(26.7 to 28.3),57,0.5,(0.4 to 0.6),"8,879",72,(71.2 to 72.8),"1,784",14.5,(13.9 to 15.1),"1,609",13.1,(12.5 to 13.7),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Girls
comb 2018,Girls,Total,Cardiff and Vale UHB,"9,615",78.8,(78.1 to 79.5),"2,583",21.2,(20.5 to 21.9),139,1.1,(1.0 to 1.3),"9,476",77.7,(76.9 to 78.4),"1,459",12,(11.4 to 12.5),"1,124",9.2,(8.7 to 9.7),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Girls
comb 2018,Girls,Total,Aneurin Bevan UHB,"11,797",74.2,(73.5 to 74.8),"4,110",25.8,(25.2 to 26.5),82,0.5,(0.4 to 0.6),"11,715",73.6,(73.0 to 74.3),"2,275",14.3,(13.8 to 14.9),"1,835",11.5,(11.0 to 12.0),CMP_InteractiveDataTables_5Years_2019.xlsx (live.com),Girls
